HU N P u v hel DD mois heure FFp FFo
76 1 1013.4 7.8 -2.8 18.53 -0.35 5 12 8.29 10.9
94.3 1 1009.2 2.3 -2 -20.65 -0.72 5 0 3.05 9.7
89.7 1 1013.1 3.2 -2.3 0.04 -0.62 5 0 3.94 9.7
94.3 1 1005.3 12.6 0.6 93.23 0.04 5 15 12.61 13
92 1 1008.4 6.4 -5 63.68 -0.66 5 9 8.12 12.2
99.1 1 1007.8 3.4 -0.3 -3.21 -0.08 5 15 3.41 6.9
67.7 1 1006.2 -3.5 5.4 -5.29 2.15 5 18 6.44 8.6
93 1 1007.7 -4.5 2.5 145.45 2.63 5 15 5.15 8
90.2 4 1008 -1.5 7.8 31.38 1.76 5 12 7.94 6.5
94.3 1 1006 -8.5 8.7 280.88 2.34 5 18 12.16 15.1
98.5 1 1006.3 -0.6 2.2 -18.32 1.84 5 0 2.28 3.1
76.4 3 1005.3 -1.2 7.3 -5.67 1.73 5 12 7.4 4.4
65.5 8 1003.9 -1.4 5.5 7.86 1.82 5 15 5.68 6.2
97.9 1 1005.4 0.7 0.4 -55.29 0.53 5 15 0.81 13.2
61.3 1 1004.9 4.7 -4.1 -16.46 -0.72 5 12 6.24 9.8
64.1 2 1004.4 6.3 -0.4 -2.44 -0.06 5 15 6.31 9.8
92.8 4 1009.8 1.4 -2.3 -8.7 -1.02 5 15 2.69 2.9
85.2 1 1011 6.6 -2.6 9.82 -0.37 5 18 7.09 7.7
74.9 1 1009.5 6.3 -5.7 74.76 -0.74 5 18 8.5 15.8
84.5 1 1011.6 5.7 -5.4 51.53 -0.76 5 21 7.85 12.2
85.9 1 1011.1 3 -5.1 -26.68 -1.04 5 0 5.92 11.4
66.7 1 1011.4 6.1 -9 55.5 -0.97 5 9 10.87 17
76.3 1 1022.6 10.7 -7.3 119.76 -0.6 5 12 12.95 19.2
55 1 1020 9.3 -8.3 79.54 -0.73 5 18 12.47 19
69.8 1 1026.8 8.2 -8.3 80.94 -0.79 5 9 11.67 14.9
66.8 1 1025.9 10.5 -8.5 158.68 -0.68 5 12 13.51 17.2
66.5 1 1025.8 8.7 -7 140.95 -0.68 5 18 11.17 16.5
85.6 4 1027.8 2.5 -3.1 -12.68 -0.89 5 15 3.98 8.7
68.5 1 1027 4.3 -5.3 -1.43 -0.89 5 9 6.82 13
56.7 1 1023.1 9 -7.4 85 -0.69 5 18 11.65 15.9
58.2 1 1022.5 10.3 -6.6 111.28 -0.57 5 18 12.23 15.9
60.4 1 1025.3 1.4 -6.9 -80.76 -1.37 5 0 7.04 7.9
60.1 1 1025.5 3 -8.3 -78.42 -1.22 5 15 8.83 11.8
48.6 1 1027.2 2.2 -6.3 103.01 -1.23 5 0 6.67 12.6
61.4 1 1027.3 2.3 -5.7 133.3 -1.19 5 15 6.15 12.5
67.6 1 1028 1.2 -7.5 169.02 -1.41 5 15 7.6 12.5
63 1 1021.5 -2 -7.2 97.67 -1.84 5 0 7.47 11.1
60 1 1020.3 -2.9 -3.1 6.22 -2.32 5 9 4.24 6.9
84.8 1 1018.4 -1 -4 26.11 -1.82 5 15 4.12 5.9
62 1 1018.4 -3.5 -2.8 -1.2 -2.47 5 9 4.48 6.6
45.1 1 1016.3 -2.5 5.8 -14.15 1.98 5 18 6.32 5.3
59.2 1 1017.2 -1.3 -1.4 1.02 -2.32 5 0 1.91 3.9
77.8 1 1017.5 -1 -1.6 14.78 -2.13 5 15 1.89 4.2
75.4 1 1012.6 -1.9 2.6 50.43 2.2 5 15 3.22 5
67.9 9 1009.8 7.6 1.5 -12.93 0.2 5 15 7.75 11
89.9 3 1010.6 5.6 -4.3 -52.37 -0.65 5 18 7.06 10.1
77.3 5 1011.2 3.4 -3 -45.29 -0.72 5 18 4.53 10.1
92.1 1 1013.5 5.2 0 12.12 0 5 0 5.2 4.4
81.7 1 1013.7 4.8 -3.8 -9.56 -0.67 5 9 6.12 6.8
92.3 1 1013.9 0.2 -1.4 -72.69 -1.43 5 15 1.41 7.7
57.9 1 1016.6 7.1 -4.3 1.34 -0.54 5 18 8.3 11.4
96.6 1 1019.6 2.5 -2.8 -3 -0.84 5 15 3.75 2.6
49.4 1 1020 7.5 -3.6 22.64 -0.45 5 12 8.32 10.5
87.4 1 1022.4 7.4 -1.9 156.96 -0.25 5 0 7.64 9.4
86.2 1 1022.9 6.2 -3 78.6 -0.45 5 0 6.89 9.4
94.2 1 1020.8 10.2 -5.3 72.83 -0.48 5 21 11.49 19
88.4 1 1021 9.6 -6.8 107.66 -0.62 5 0 11.76 24
92.5 1 1015.9 7.8 -6.6 91.7 -0.7 6 15 10.22 12
56.2 1 1015.4 4.5 -7.2 4.5 -1.01 6 18 8.49 15.9
71.9 1 1014.1 -0.8 -4.9 -17.88 -1.73 6 0 4.96 7.8
82.3 1 1014.6 -0.3 -3.3 10.57 -1.66 6 0 3.31 7.8
78.4 1 1016.4 0.2 -0.9 20.65 -1.35 6 15 0.92 6.1
67.6 1 1019.4 2.1 -1.4 43.52 -0.59 6 21 2.52 8.1
69.3 1 1019.3 0.4 0.1 5.77 0.22 6 0 0.41 2.9
72.8 1 1019.9 -1.1 3.4 4.07 1.88 6 9 3.57 2.8
49.8 1 1018.7 1.3 6 5.41 1.36 6 12 6.14 7.2
55.5 1 1016.4 -1.1 5.5 18.11 1.77 6 18 5.61 10.3
66.2 1 1018.1 -2.8 2.7 38.47 2.37 6 21 3.89 9
62 3 1016.7 2.5 2.4 -11.07 0.77 6 15 3.47 2.5
84.9 1 1017.5 7.8 1.4 19.02 0.17 6 12 7.92 7.6
91.1 1 1019 3.3 -4.6 -7.43 -0.95 6 15 5.66 6.6
48.2 1 1011.9 3.4 4.8 5.98 0.95 6 15 5.88 7
66.7 1 1012.1 0.4 1.4 16.23 1.29 6 21 1.46 7.1
81.4 1 1010.8 -1 -0.5 23.27 -2.67 6 0 1.12 4.7
86.4 1 1007.5 -6.4 8.2 203.2 2.23 6 18 10.4 15
92.8 1 1006.3 -8.8 8.2 424.52 2.39 6 0 12.03 17.2
92.5 1 1006.5 -10 9.1 456.08 2.4 6 0 13.52 17.2
94.4 1 1006.1 -8.7 9.5 367.55 2.31 6 15 12.88 18.5
90.8 1 1005.3 -8.1 8.1 286.31 2.36 6 15 11.46 18.1
82.2 2 1002.9 -13.1 14 257.76 2.32 6 12 19.17 25.1
94.1 2 1000.4 -6.5 8.4 146.54 2.23 6 15 10.62 20.7
83.8 3 1000.8 -9.8 13.6 170.35 2.2 6 12 16.76 21.9
90.2 1 1005.1 -7.9 11.7 180.35 2.16 6 12 14.12 21.9
93.3 1 1009.9 -6.6 4.5 60.82 2.54 6 15 7.99 12
75.4 1 1009.9 -7.8 8.9 157.67 2.29 6 9 11.83 15.9
96.7 5 1012.3 0.9 9.6 -13.23 1.48 6 18 9.64 13.6
80.5 1 1015.3 -0.1 -2 -7.01 -1.62 6 15 2 4.1
88.9 1 1013.9 -0.1 -1.6 4 -1.63 6 15 1.6 4.1
92.5 1 1015 -1 -3.5 62.14 -1.85 6 0 3.64 3.8
96.5 1 1014.3 5.1 -2.1 25.26 -0.39 6 0 5.52 4.8
69.3 1 1014 8.3 -0.2 1.33 0 6 12 8.3 6
93 1 1014.7 2.1 -3.4 -4.82 -1.02 6 18 4 7.3
76.4 1 1010.4 4.1 -4.4 18.72 -0.82 6 12 6.01 3.9
79.9 1 1012 1.4 -4.5 40.13 -1.27 6 18 4.71 5.6
98.4 1 1007.8 1.2 3.9 -4.52 1.27 6 15 4.08 8.2
99 8 1010.9 4.3 1.8 24.58 0.4 6 15 4.66 8.2
79.9 6 1011.1 -1.4 4.6 1.78 1.87 6 15 4.81 8.7
99.3 1 1016 3.7 1 15.52 0.26 6 0 3.83 4.9
99.2 1 1015.1 3 -0.2 12.35 -0.08 6 15 3.01 4.7
97.7 1 1015.4 3 -1.8 4.91 -0.54 6 15 3.5 3.8
85.4 1 1016.2 4.3 -0.8 14.49 -0.18 6 9 4.37 5.4
83.9 1 1012.7 7.8 -3.8 48.93 -0.45 6 18 8.68 9.5
96.1 1 1010 4.2 -4.5 31.95 -0.82 6 15 6.16 9.2
60.6 1 1011.9 7.6 -9.2 71.77 -0.88 6 12 11.93 17.9
65.9 1 1013 8 -8 135.41 -0.79 6 18 11.31 19.5
85.1 1 1015.2 7.4 -5.4 205.95 -0.63 6 0 9.16 15.1
83.8 1 1020.7 2.2 -3 43.86 -0.94 6 15 3.72 15.2
60.2 1 1020.1 2.8 -6.9 38.89 -1.19 6 9 7.45 16
48.6 1 1018.5 2.6 -7.5 15.91 -1.24 6 12 7.94 13.2
75.9 1 1019.5 0 -6 32.62 -1.57 6 15 6 8.9
70.5 1 1019.6 0.4 -5.4 26.09 -1.5 6 15 5.41 8.9
61.3 1 1018.1 -2.5 -3.9 -5.46 -2.14 6 9 4.63 9.3
45.3 1 1017.5 0.8 1.8 2.64 1.15 6 12 1.97 9.6
55.8 1 1013.9 -1.1 3.8 9.19 1.85 6 18 3.96 7.8
77.3 1 1015 -1.1 -2.5 28.78 -1.99 6 0 2.73 8.7
76.4 1 1014.6 -0.5 -2 22.8 -1.82 6 15 2.06 5.2
40.8 1 1014.1 -1.1 0.6 -1.68 2.65 6 12 1.25 8
42.6 1 1016.4 5.5 3.1 12.91 0.51 6 12 6.31 7.5
33.9 1 1016.2 5.6 -2.1 7.75 -0.36 6 18 5.98 9.6
31.8 1 1015.9 5 -4.2 6.36 -0.7 6 18 6.53 9.6
89.5 1 1017.7 5.8 1.6 51.38 0.27 6 0 6.02 5.3
76.6 2 1017.8 0.1 -1.8 -0.77 -1.52 6 0 1.8 5.3
99.8 1 1019.9 2 -1.7 23.25 -0.7 6 15 2.62 3.1
89.1 1 1019.5 2.7 -2.5 27.24 -0.75 6 0 3.68 6.5
66 1 1020.1 0.8 -6.1 13.08 -1.44 6 9 6.15 8.3
72 1 1018.2 5.3 -2 62.35 -0.36 6 15 5.66 9.2
81.1 1 1018.1 -0.1 -1.2 -17.32 -1.65 7 15 1.2 3.7
67.6 1 1017.6 -1.1 3.6 4.93 1.87 7 9 3.76 3.8
75.4 1 1014.8 -1.3 -1.4 42.26 -2.32 7 15 1.91 4.2
64.1 1 1017.1 -1.4 -1.4 27.07 -2.36 7 15 1.98 4.7
56.7 1 1020.5 6.7 -6.7 39.06 -0.79 7 18 9.48 13.2
87.4 1 1022 3 -4.1 19.59 -0.94 7 15 5.08 10.1
44.9 1 1022.9 0.7 -2.4 -43.24 -1.29 7 15 2.5 10.1
47.5 1 1021 9.6 -6.5 107.73 -0.59 7 18 11.59 18.6
45.8 1 1022.5 8.2 -6.3 108.75 -0.66 7 21 10.34 20
62.8 1 1023 6.7 -6.1 36.66 -0.74 7 0 9.06 19.3
57 1 1023.1 5.9 -5.5 23.48 -0.75 7 9 8.07 13.8
57.1 1 1021.7 -0.3 -5 -43.94 -1.63 7 0 5.01 8.6
66.6 1 1021.3 0.2 -4.2 -13.85 -1.52 7 15 4.2 7.5
27.2 1 1018.9 -0.1 2 -12.32 1.62 7 12 2 6.1
47.3 1 1019.5 -2.9 7.1 24.55 1.96 7 18 7.67 8.8
46.2 1 1019.1 -1.7 -1.2 58.74 -2.53 7 0 2.08 6.1
36 1 1019.3 -5.1 3.2 -13.57 2.58 7 0 6.02 6.1
81.4 1 1020.3 -0.1 -0.8 3.83 -1.69 7 15 0.81 7.6
59.8 1 1016 -2.6 1.8 -6.23 2.54 7 18 3.16 9
87.5 1 1015.7 -1.5 -0.9 37.01 -2.6 7 15 1.75 4.9
89.9 8 1015 6.5 -1.1 -42.15 -0.17 7 18 6.59 9.6
96 4 1017.2 3.9 -2.1 15.23 -0.49 7 0 4.43 4.8
84.2 1 1013.7 -0.2 -0.5 13.6 -1.95 7 15 0.54 4.6
53.8 1 1010.7 -3.6 3 132.33 2.45 7 0 4.69 6.5
88.6 1 1015.9 4.7 -6 -136.93 -0.91 7 0 7.62 10.7
75.7 1 1016.9 -0.3 -1.5 -39.65 -1.77 7 0 1.53 5.7
63.8 1 1018.3 2.2 -3.5 23.62 -1.01 7 0 4.13 10.3
68.8 2 1018.9 4.5 -1.8 -0.1 -0.38 7 0 4.85 10.3
48 1 1021.8 7.7 -6 -14.26 -0.66 7 12 9.76 11.9
38.4 1 1021 7.1 -7.3 -29.01 -0.8 7 15 10.18 11.9
43.6 1 1021.6 5.5 -8 -47.86 -0.97 7 18 9.71 13.6
57.2 1 1024.2 0.2 -7.3 -89.41 -1.54 7 15 7.3 7.2
44.9 1 1019.9 -1.9 -5.4 -7.2 -1.91 7 15 5.72 7.9
34.3 1 1018.2 5.8 -0.6 9.41 -0.1 7 12 5.83 9.8
38.4 1 1015.6 0 -0.3 1.33 -1.57 7 15 0.3 2.2
27.6 1 1013.5 1 5.6 3.92 1.39 7 12 5.69 8.1
28.8 1 1013.9 1 6.2 5.95 1.41 7 12 6.28 8.1
29.1 1 1011.4 0.2 7.1 10.84 1.54 7 15 7.1 9.1
61.4 1 1011.7 -2.5 7.7 21.88 1.88 7 18 8.1 11.9
75.1 9 1010.3 -0.2 6.1 11.6 1.6 7 18 6.1 11.9
64.3 1 1012.8 -1.1 4.2 30 1.83 7 21 4.34 8.4
97.2 1 1013.8 1.1 0.8 32.84 0.63 7 0 1.36 6.5
51.9 1 1011.9 -2.5 3.6 97.13 2.18 7 0 4.38 6.5
61 1 1011.4 -2.1 5 129.07 1.97 7 15 5.42 4.4
78.3 1 1012.7 -1 4.5 82.79 1.79 7 15 4.61 6.1
63.5 1 1013.1 -1.6 7.1 26.85 1.79 7 9 7.28 4.9
91.4 4 1016.1 3.2 -5.4 -13.24 -1.04 7 15 6.28 6.9
96.2 1 1019.3 4.6 -3.5 2.88 -0.65 7 0 5.78 6
59.3 1 1021.8 8.1 -8.1 52.36 -0.79 7 12 11.46 17
51.5 1 1020 8.6 -7.5 79.38 -0.72 7 15 11.41 16
61.2 1 1020.2 9 -7.2 95.39 -0.68 7 15 11.53 16
73.9 1 1018.9 2.1 -5 -17.24 -1.17 7 15 5.42 9.9
87.1 1 1018.5 3.5 -4.7 22.48 -0.93 7 15 5.86 8.8
52.6 1 1016.8 10.1 -7.5 98.21 -0.64 7 12 12.58 13.9
44.7 1 1018.7 2.6 -7.2 46.94 -1.22 7 0 7.66 16.3
69.8 1 1017.9 6.2 -6 87.7 -0.77 7 0 8.63 16.3
81 1 1020.8 0.4 -1.5 -17.48 -1.31 7 0 1.55 7.3
79.5 1 1018.3 2.8 -3.4 -44.83 -0.88 7 0 4.4 12.9
65.6 1 1017.2 3.4 -3 -21.7 -0.72 7 0 4.53 12.9
88.7 1 1017.6 3 -3.1 -13.47 -0.8 7 15 4.31 7.1
57.7 1 1015.4 9.5 -4.7 40.94 -0.46 7 12 10.6 16.8
40.6 1 1014.5 9.2 -7 61.25 -0.65 7 15 11.56 15.2
61.7 1 1017 5.5 -3.8 75.69 -0.61 7 21 6.69 12.9
50.7 1 1016.8 -1.1 -0.7 14.81 -2.58 8 0 1.3 4.5
44.3 1 1018.1 -1.4 5.5 36.85 1.82 8 9 5.68 4.8
99.6 1 1018 1.6 0.8 2.71 0.46 8 0 1.79 7.1
93.5 7 1017 3.8 -2 4.83 -0.48 8 12 4.29 4.1
98.9 1 1018.4 5 -0.6 74.25 -0.13 8 21 5.04 8.2
95.5 1 1018.8 5.4 -2.9 46.69 -0.49 8 0 6.13 7.6
93 1 1019.8 5.7 -4.3 61.73 -0.65 8 0 7.14 7.6
95.8 1 1018.4 3.9 -4.7 -1.78 -0.88 8 15 6.11 10.2
72 1 1015.9 8.3 -7.4 94.41 -0.73 8 18 11.12 19.7
60.3 1 1016.1 8.2 -6.3 86.81 -0.66 8 18 10.34 19.7
87.4 1 1016.1 3 -1.7 25.09 -0.52 8 15 3.45 7.3
93.4 1 1017 3.2 -4.1 10.56 -0.91 8 15 5.2 5.9
54 1 1014 9.5 -8.9 101.35 -0.75 8 12 13.02 20.5
64.2 1 1019.4 1.2 -0.2 -17.01 -0.18 8 0 1.22 5.2
75.8 1 1017.6 -0.5 -1.4 8.76 -1.91 8 15 1.49 2.8
56.1 1 1018.3 2.1 -1.8 -14.75 -0.71 8 21 2.77 8.1
76.6 1 1017.8 4.8 -4.2 -14.13 -0.72 8 0 6.38 10.2
51.3 1 1017.9 3.2 -1.3 6.63 -0.38 8 0 3.45 10.2
81.4 1 1019.2 0.7 -0.5 -11.04 -0.62 8 15 0.86 4.7
50.6 1 1017.8 8.3 -1.4 16.75 -0.17 8 12 8.42 9.3
57.8 1 1017.1 6.3 -6.4 -60.29 -0.79 8 18 8.98 10.3
78.7 1 1017 4 -2.2 16.32 -0.5 8 0 4.57 6.4
89.8 1 1015.8 5.1 -2 -2.55 -0.37 8 15 5.48 10.4
95.8 1 1016.2 3 -0.4 -11.51 -0.14 8 15 3.03 6.1
85.3 1 1017.1 3.1 -4 -23.15 -0.91 8 15 5.06 6.5
83.2 1 1016.8 3.1 -1.2 12.69 -0.37 8 15 3.32 5
89.8 1 1016.1 4.6 -2.4 -16.84 -0.48 8 15 5.19 5.7
79.3 1 1015.2 1.7 -1.3 -36.56 -0.65 8 15 2.14 5.7
66.5 1 1016.7 10.5 -2.5 36.01 -0.23 8 12 10.79 9.4
60.6 1 1016.3 11.5 -1.7 71.2 -0.14 8 18 11.62 12.8
82.6 1 1018.4 4.3 -3.5 -30.22 -0.68 8 21 5.54 9.4
73.5 1 1021.7 2.7 -4.6 -12.66 -1.04 8 21 5.33 8.7
82.1 1 1018.4 1.9 -1.1 10.46 -0.53 8 0 2.2 8.9
42.5 1 1017.1 5.9 -5.4 -6.06 -0.74 8 12 8 11.5
34.1 1 1015.2 5.4 -3.3 -13.89 -0.55 8 15 6.33 9.7
83.7 1 1016.5 -0.5 -1.4 -9.4 -1.91 8 15 1.49 4.6
43.7 1 1016.4 -0.2 6.3 17.27 1.6 8 12 6.3 10.5
49 1 1015.2 -1 4.9 1.16 1.77 8 12 5 10.5
96.2 3 1019.9 -1.9 1.2 7.65 2.58 8 15 2.25 3.3
86.4 1 1024.1 0.6 -0.4 7.08 -0.59 8 0 0.72 2.2
74 1 1024.2 -0.2 -1.8 1.48 -1.68 8 15 1.81 3.2
69.2 1 1021.4 -0.9 -1.8 19.41 -2.04 8 15 2.01 3.8
41.9 1 1018.4 -2.1 7.9 20.45 1.83 8 12 8.17 11.9
35.3 1 1018 4.7 4.4 4.1 0.75 8 12 6.44 11.9
34.2 1 1016.3 -3.3 8.9 31.49 1.93 8 15 9.49 12.4
43.9 3 1014.9 -3.7 0.6 90.8 2.98 8 0 3.75 6.4
63.4 1 1011.7 -5.1 4.9 131.58 2.38 8 15 7.07 4.8
52.5 2 1010.7 3.9 5.7 4.44 0.97 8 12 6.91 8.7
40.4 1 1009.7 7 0.8 -31.61 0.12 8 15 7.05 9.6
91.7 1 1012.4 -0.8 3.1 7.22 1.82 8 0 3.2 3.7
83.8 1 1013.2 2.7 0.5 -46.07 0.19 8 15 2.75 4.4
90.2 1 1015.3 2.7 -2.5 -61.15 -0.75 8 15 3.68 6.6
80.1 1 1016.9 6.3 -3.5 -33.3 -0.51 8 15 7.21 10.9
49.8 1 1019.8 0.6 -2.8 -14.13 -1.36 8 9 2.86 4.4
26.5 1 1015.3 -3.7 8.5 56.66 1.98 8 12 9.27 11.5
36.1 1 1012.1 13.6 -2.4 15.22 -0.17 8 15 13.81 19.6
44.3 1 1017.4 8.4 -7.1 69.09 -0.7 8 18 11 17.2
53.5 1 1020.5 0.2 -7.1 -42.8 -1.54 8 21 7.1 13.4
32.2 1 1017.1 -3.1 -9.1 -74.79 -1.9 8 18 9.61 16.8
27 1 1016.9 -3.8 -8.9 10.63 -1.97 8 12 9.68 13.7
18.2 1 1014.2 -4.7 -8.7 6.29 -2.07 8 15 9.89 13.5
20.2 1 1013.8 -4.9 -7.3 28.71 -2.16 8 18 8.79 11.2
58 1 1015.9 -3.4 -6.1 51.25 -2.08 9 0 6.98 9.4
53.6 1 1013.6 -1.2 -1.8 56.45 -2.16 9 15 2.16 5.3
96.1 1 1013.8 -1.1 -0.8 3.02 -2.51 9 0 1.36 4.6
50 1 1017.3 3.4 -3.2 51.89 -0.76 9 21 4.67 11
44.8 1 1017.8 -0.8 -2.3 -11.06 -1.9 9 0 2.44 6.8
35 1 1014.8 7 1 16.25 0.14 9 15 7.07 12.5
33 2 1014.7 4.9 -4.1 19.12 -0.7 9 18 6.39 9.9
35.4 1 1014.8 5.1 -3.2 34.6 -0.56 9 18 6.02 9.9
60.2 1 1016.4 0 -1.7 15.21 -1.57 9 15 1.7 2.7
27.4 1 1013.6 4 0.2 19.35 0 9 18 4 6.8
48.8 1 1015.6 -3.2 1.5 0.6 2.71 9 21 3.53 6.5
55 1 1015.1 -1.5 -0.7 36 -2.7 9 0 1.66 5.6
41.6 1 1012.6 -2.9 6.6 94.41 1.98 9 9 7.21 6
41.2 1 1011.4 -3.8 8.6 29.9 1.99 9 12 9.4 11.4
97.1 1 1007.9 -6.8 7.9 251.76 2.28 9 0 10.42 11
94.3 2 1010.4 7.7 -1.8 -68.78 -0.23 9 15 7.91 7.2
97.2 1 1015.2 4.4 -2.5 1.35 -0.52 9 0 5.06 6.5
92.2 1 1015.7 6.4 -5 -46.7 -0.66 9 15 8.12 8.8
93.9 3 1017.5 5.2 -0.6 47.18 -0.11 9 9 5.23 12.1
68.8 1 1021.4 0 -4.1 3.64 -1.57 9 21 4.1 6.7
82.2 1 1020 -1.1 -4.3 29.5 -1.82 9 15 4.44 6.6
45.4 1 1017.7 -0.1 5.2 -16.21 1.59 9 12 5.2 5
58.3 1 1021.4 8.5 -2.2 31.77 -0.25 9 12 8.78 9.5
52.8 1 1020.4 6.1 -2.4 7.05 -0.38 9 12 6.56 9.5
63.3 1 1023.5 3.9 -1.7 26.29 -0.41 9 21 4.25 10
87.5 1 1025.3 5.1 -5 3.68 -0.78 9 0 7.14 10.3
45.7 1 1024.8 6 -8.8 35.15 -0.97 9 12 10.65 14.7
60.2 1 1027.2 1.3 -4.3 7.5 -1.28 9 0 4.49 7.1
72.1 1 1027.1 1.7 -3.8 38.89 -1.15 9 15 4.16 7.2
65.9 1 1020.3 1.1 -0.8 -24.34 -0.63 9 15 1.36 2.1
53.6 1 1017.1 1.7 -3 -35.53 -1.06 9 21 3.45 6.2
75.5 2 1013.4 3.5 2.1 -15.46 0.54 9 12 4.08 6.1
95.2 1 1012.5 -0.7 -3.7 67.04 -1.76 9 15 3.77 6.4
81.7 1 1016.3 0.4 -5.6 -57.78 -1.5 9 9 5.61 4.4
96.5 1 1016.6 5.2 -2.7 6.49 -0.48 9 18 5.86 12.7
98 1 1016.5 6.6 -3.3 32.82 -0.46 9 0 7.38 8.1
35.1 1 1016.8 5.5 -0.4 5.74 -0.06 9 12 5.51 6.7
41 1 1015.3 3.4 -4 21.04 -0.87 9 18 5.25 5.9
59.4 1 1016.6 5.7 -5.4 31.83 -0.76 9 18 7.85 5.9
62 1 1018.1 -0.6 -1.6 27.83 -1.93 9 15 1.71 2.8
59.8 1 1018.5 -1.5 -2.1 24.49 -2.19 9 0 2.58 5.7
48.4 4 1019.7 -3.1 3.9 -4.39 2.24 9 15 4.98 6.5
87.8 1 1019 -0.7 3.8 -19.7 1.75 9 18 3.86 4.5
78.4 2 1019.8 -0.2 3.7 -24.1 1.62 9 18 3.71 4.5
94.6 1 1019.8 -0.6 -0.5 -1.1 -2.45 9 0 0.78 3.6
82.4 1 1020.1 -0.4 -1.4 0.97 -1.85 9 15 1.46 3.2
75.1 1 1018.8 -1.3 -2.2 118.55 -2.1 9 15 2.56 4
66.1 1 1018.4 -1.4 -1.9 109.49 -2.21 9 15 2.36 4
91.6 1 1016 -7.4 6.1 297.96 2.45 9 15 9.59 3.5
96 1 1013.7 -4.3 1.2 132.18 2.87 9 0 4.46 4.9
97.2 1 1011.9 -2.9 3.3 75.16 2.29 9 0 4.39 4.9
71.5 1 1008.2 11.3 -2.5 41.01 -0.22 9 15 11.57 15.2
